rowNumber,safetyClass,recommendedEnrichmentAction,decisionNeeded,enrichmentTypes,roiGroup,provider,category,title,formats,bestMatchScore,targetEvidence,targetIds,detectedFamilies,siteFamiliesPresent,sourcePlacement,dPath,cleanedRecommendation,geographyRecommendation,refinedStatus
12,variant/source enrichment review,compare provider/date/scale/schema with existing family before adding metadata,"Review required; likely source metadata or child/variant relationship, not a duplicate parent.",alternate-format metadata; census/statistical provenance and concept context; date/version metadata; download/source-file metadata; geometry lineage and boundary-version metadata; geospatial source-format metadata; raw-source viewport candidate metadata; scale/generalisation/edition metadata; schema/table/attribute metadata; source/provenance metadata,3. Authoritative boundary variants from Tailte/OSI/Open Data NI/NISRA,Open Data NI,spatial,OSNI Open Data - 50K Boundaries - Townlands (2013),CSV|GEOJSON|KML|ZIP,0.40,database-map:eoni-polling-stations (EONI Polling Stations; 0.40) | database-map:wq-agricultural-critical-risk (Agricultural Critical Risk Areas (DAERA); 0.40) | database-map:osni-sixinch-edition-2 (OSNI Historical Six-Inch Maps ? Edition 2 (1838?1862); 0.40),database-map:eoni-polling-stations; database-map:wq-agricultural-critical-risk; database-map:osni-sixinch-edition-2,townlands;habitat-protected-sites,townlands;habitat-protected-sites,IA download/viewport first; R2/CDN only for approved derived tiles/previews.,.../osni-open-data-50k-boundaries-townlands,Compare provider/date/scale/generalisation/schema; publish only as variant/child/source if materially different.,Match to canonical townland generation/version; retain provider/source version as a variant if geometry differs.,"family already present; review as exact-or-variant, not automatically new"
13,variant/source enrichment review,compare provider/date/scale/schema with existing family before adding metadata,"Review required; likely source metadata or child/variant relationship, not a duplicate parent.",alternate-format metadata; census/statistical provenance and concept context; date/version metadata; download/source-file metadata; geometry lineage and boundary-version metadata; geospatial source-format metadata; raw-source viewport candidate metadata; scale/generalisation/edition metadata; schema/table/attribute metadata; source/provenance metadata,4. Open Data NI boundary and statistical-geography files,Open Data NI,spatial,OSNI Open Data - 50K Boundaries - Wards (1993),CSV|GEOJSON|KML|ZIP,0.50,database-map:wards-1993 (Wards 1993; 0.50) | database-map:wards-2022-final-recommendations (2022 (Final Recommendations); 0.50) | browse-source:map-source:wards-2022-final-recommendations (Wards - 2022 (Final Recommendations) source files; 0.50),database-map:wards-1993; database-map:wards-2022-final-recommendations; browse-source:map-source:wards-2022-final-recommendations,wards;habitat-protected-sites,wards;habitat-protected-sites,IA download/viewport first; R2/CDN only for approved derived tiles/previews.,.../osni-open-data-50k-boundaries-wards-1993,Compare provider/date/scale/generalisation/schema; publish only as variant/child/source if materially different.,Match against NI ward generation/year; distinguish 1984/1993/2012/2022 and provider generalisation/full-detail lineage.,"family already present; review as exact-or-variant, not automatically new"
14,variant/source enrichment review,compare provider/date/scale/schema with existing family before adding metadata,"Review required; likely source metadata or child/variant relationship, not a duplicate parent.",alternate-format metadata; census/statistical provenance and concept context; date/version metadata; download/source-file metadata; geometry lineage and boundary-version metadata; geospatial source-format metadata; raw-source viewport candidate metadata; scale/generalisation/edition metadata; schema/table/attribute metadata; source/provenance metadata,4. Open Data NI boundary and statistical-geography files,Open Data NI,spatial,OSNI Open Data - Largescale Boundaries - Local Government Districts (1993),CSV|GEOJSON|KML|ZIP,0.50,database-map:lgd-2022-final-recommendations (2022 (Final Recommendations); 0.50) | browse-source:map-source:lgd-2022-final-recommendations (Local Government Districts - 2022 (Final Recommendations) source files; 0.50) | browse-map:lgd-2022-final-recommendations (Local Government Districts - 2022 (Final Recommendations); 0.50),database-map:lgd-2022-final-recommendations; browse-source:map-source:lgd-2022-final-recommendations; browse-map:lgd-2022-final-recommendations,local-government-districts;habitat-protected-sites,local-government-districts;habitat-protected-sites,IA download/viewport first; R2/CDN only for approved derived tiles/previews.,.../osni-open-data-largescale-boundaries-local-government-districts-1993,Compare provider/date/scale/generalisation/schema; publish only as variant/child/source if materially different.,"Use provider extent, geometry type, year, and existing Civgraph family as matching keys before creating new records.","family already present; review as exact-or-variant, not automatically new"
15,variant/source enrichment review,compare provider/date/scale/schema with existing family before adding metadata,"Review required; likely source metadata or child/variant relationship, not a duplicate parent.",alternate-format metadata; census/statistical provenance and concept context; date/version metadata; download/source-file metadata; geometry lineage and boundary-version metadata; geospatial source-format metadata; raw-source viewport candidate metadata; scale/generalisation/edition metadata; schema/table/attribute metadata; source/provenance metadata,3. Authoritative boundary variants from Tailte/OSI/Open Data NI/NISRA,Tailte/OSI/data.gov.ie,spatial,Administrative Areas - National Statutory Boundaries - 2019,ARCGIS GEOSERVICES REST API|CSV|GDB|GEOJSON|GPKG|HTML|KML|TXT|XLSX|ZIP,0.71,database-map:counties-ireland (Counties of Ireland; 0.71) | browse-source:map-source:counties-ireland (Counties of Ireland source files; 0.71) | browse-map:counties-ireland (Counties of Ireland; 0.71),database-map:counties-ireland; browse-source:map-source:counties-ireland; browse-map:counties-ireland,habitat-protected-sites,habitat-protected-sites,IA download/viewport first; R2/CDN only for approved derived tiles/previews.,.../administrative-areas-national-statutory-boundaries-20191,Compare provider/date/scale/generalisation/schema; publish only as variant/child/source if materially different.,"Use provider extent, geometry type, year, and existing Civgraph family as matching keys before creating new records.","family already present; review as exact-or-variant, not automatically new"
16,variant/source enrichment review,compare provider/date/scale/schema with existing family before adding metadata,"Review required; likely source metadata or child/variant relationship, not a duplicate parent.",alternate-format metadata; census/statistical provenance and concept context; date/version metadata; download/source-file metadata; geometry lineage and boundary-version metadata; geospatial source-format metadata; raw-source viewport candidate metadata; scale/generalisation/edition metadata; schema/table/attribute metadata; source/provenance metadata,3. Authoritative boundary variants from Tailte/OSI/Open Data NI/NISRA,Tailte/OSI/data.gov.ie,spatial,Administrative Areas - National Statutory Boundaries - 2019 - Generalised 20m,ARCGIS GEOSERVICES REST API|CSV|GDB|GEOJSON|GPKG|HTML|KML|TXT|XLSX|ZIP,0.56,database-map:counties-ireland (Counties of Ireland; 0.56) | browse-source:map-source:counties-ireland (Counties of Ireland source files; 0.56) | browse-map:counties-ireland (Counties of Ireland; 0.56),database-map:counties-ireland; browse-source:map-source:counties-ireland; browse-map:counties-ireland,habitat-protected-sites,habitat-protected-sites,IA download/viewport first; R2/CDN only for approved derived tiles/previews.,.../administrative-areas-national-statutory-boundaries-2019-generalised-20m1,Compare provider/date/scale/generalisation/schema; publish only as variant/child/source if materially different.,"Use provider extent, geometry type, year, and existing Civgraph family as matching keys before creating new records.","family already present; review as exact-or-variant, not automatically new"
17,variant/source enrichment review,compare provider/date/scale/schema with existing family before adding metadata,"Review required; likely source metadata or child/variant relationship, not a duplicate parent.",alternate-format metadata; census/statistical provenance and concept context; date/version metadata; download/source-file metadata; geometry lineage and boundary-version metadata; geospatial source-format metadata; raw-source viewport candidate metadata; scale/generalisation/edition metadata; schema/table/attribute metadata; source/provenance metadata,3. Authoritative boundary variants from Tailte/OSI/Open Data NI/NISRA,Tailte/OSI/data.gov.ie,spatial,Administrative Areas Generalised 100m - National Statutory Boundaries - 2015,ARCGIS GEOSERVICES REST API|CSV|GDB|GEOJSON|GPKG|HTML|KML|TXT|XLSX|ZIP,0.50,database-map:counties-ireland (Counties of Ireland; 0.50) | browse-source:map-source:counties-ireland (Counties of Ireland source files; 0.50) | browse-map:counties-ireland (Counties of Ireland; 0.50),database-map:counties-ireland; browse-source:map-source:counties-ireland; browse-map:counties-ireland,habitat-protected-sites,habitat-protected-sites,IA download/viewport first; R2/CDN only for approved derived tiles/previews.,.../administrative-areas-generalised-100m-national-statutory-boundaries-20151,Compare provider/date/scale/generalisation/schema; publish only as variant/child/source if materially different.,"Use provider extent, geometry type, year, and existing Civgraph family as matching keys before creating new records.","family already present; review as exact-or-variant, not automatically new"
18,variant/source enrichment review,compare provider/date/scale/schema with existing family before adding metadata,"Review required; likely source metadata or child/variant relationship, not a duplicate parent.",alternate-format metadata; census/statistical provenance and concept context; date/version metadata; download/source-file metadata; geometry lineage and boundary-version metadata; geospatial source-format metadata; raw-source viewport candidate metadata; scale/generalisation/edition metadata; schema/table/attribute metadata; source/provenance metadata,3. Authoritative boundary variants from Tailte/OSI/Open Data NI/NISRA,Tailte/OSI/data.gov.ie,spatial,Administrative Areas Generalised 20m - National Statutory Boundaries - 2015,ARCGIS GEOSERVICES REST API|CSV|GDB|GEOJSON|GPKG|HTML|KML|TXT|XLSX|ZIP,0.50,database-map:counties-ireland (Counties of Ireland; 0.50) | browse-source:map-source:counties-ireland (Counties of Ireland source files; 0.50) | browse-map:counties-ireland (Counties of Ireland; 0.50),database-map:counties-ireland; browse-source:map-source:counties-ireland; browse-map:counties-ireland,habitat-protected-sites,habitat-protected-sites,IA download/viewport first; R2/CDN only for approved derived tiles/previews.,.../administrative-areas-generalised-20m-national-statutory-boundaries-20151,Compare provider/date/scale/generalisation/schema; publish only as variant/child/source if materially different.,"Use provider extent, geometry type, year, and existing Civgraph family as matching keys before creating new records.","family already present; review as exact-or-variant, not automatically new"
19,variant/source enrichment review,compare provider/date/scale/schema with existing family before adding metadata,"Review required; likely source metadata or child/variant relationship, not a duplicate parent.",alternate-format metadata; census/statistical provenance and concept context; date/version metadata; download/source-file metadata; geometry lineage and boundary-version metadata; geospatial source-format metadata; raw-source viewport candidate metadata; scale/generalisation/edition metadata; schema/table/attribute metadata; source/provenance metadata,3. Authoritative boundary variants from Tailte/OSI/Open Data NI/NISRA,Tailte/OSI/data.gov.ie,spatial,Administrative Areas Generalised 50m - National Statutory Boundaries - 2015,ARCGIS GEOSERVICES REST API|CSV|GDB|GEOJSON|GPKG|HTML|KML|TXT|XLSX|ZIP,0.50,database-map:counties-ireland (Counties of Ireland; 0.50) | browse-source:map-source:counties-ireland (Counties of Ireland source files; 0.50) | browse-map:counties-ireland (Counties of Ireland; 0.50),database-map:counties-ireland; browse-source:map-source:counties-ireland; browse-map:counties-ireland,habitat-protected-sites,habitat-protected-sites,IA download/viewport first; R2/CDN only for approved derived tiles/previews.,.../administrative-areas-generalised-50m-national-statutory-boundaries-20151,Compare provider/date/scale/generalisation/schema; publish only as variant/child/source if materially different.,"Use provider extent, geometry type, year, and existing Civgraph family as matching keys before creating new records.","family already present; review as exact-or-variant, not automatically new"
20,variant/source enrichment review,compare provider/date/scale/schema with existing family before adding metadata,"Review required; likely source metadata or child/variant relationship, not a duplicate parent.",alternate-format metadata; census/statistical provenance and concept context; date/version metadata; download/source-file metadata; geometry lineage and boundary-version metadata; geospatial source-format metadata; raw-source viewport candidate metadata; scale/generalisation/edition metadata; schema/table/attribute metadata; source/provenance metadata,3. Authoritative boundary variants from Tailte/OSI/Open Data NI/NISRA,Tailte/OSI/data.gov.ie,spatial,Administrative Areas Ungeneralised - National Statutory Boundaries - 2015,ARCGIS GEOSERVICES REST API|CSV|GDB|GEOJSON|GPKG|HTML|KML|TXT|XLSX|ZIP,0.53,database-map:counties-ireland (Counties of Ireland; 0.53) | browse-source:map-source:counties-ireland (Counties of Ireland source files; 0.53) | browse-map:counties-ireland (Counties of Ireland; 0.53),database-map:counties-ireland; browse-source:map-source:counties-ireland; browse-map:counties-ireland,habitat-protected-sites,habitat-protected-sites,IA download/viewport first; R2/CDN only for approved derived tiles/previews.,.../administrative-areas-ungeneralised-national-statutory-boundaries-20151,Compare provider/date/scale/generalisation/schema; publish only as variant/child/source if materially different.,"Use provider extent, geometry type, year, and existing Civgraph family as matching keys before creating new records.","family already present; review as exact-or-variant, not automatically new"
21,variant/source enrichment review,compare provider/date/scale/schema with existing family before adding metadata,"Review required; likely source metadata or child/variant relationship, not a duplicate parent.",alternate-format metadata; census/statistical provenance and concept context; download/source-file metadata; geometry lineage and boundary-version metadata; geospatial source-format metadata; raw-source viewport candidate metadata; scale/generalisation/edition metadata; schema/table/attribute metadata; source/provenance metadata,3. Authoritative boundary variants from Tailte/OSI/Open Data NI/NISRA,Tailte/OSI/data.gov.ie,spatial,Baronies - National Placenames Gazetteer,ARCGIS GEOSERVICES REST API|CSV|GDB|GEOJSON|GPKG|HTML|KML|TXT|XLSX|ZIP,0.57,database-map:counties-ireland (Counties of Ireland; 0.57) | browse-source:map-source:counties-ireland (Counties of Ireland source files; 0.57) | browse-map:counties-ireland (Counties of Ireland; 0.57),database-map:counties-ireland; browse-source:map-source:counties-ireland; browse-map:counties-ireland,baronies;place-names-gazetteer;habitat-protected-sites,baronies;place-names-gazetteer;habitat-protected-sites,IA download/viewport first; R2/CDN only for approved derived tiles/previews.,.../baronies-national-placenames-gazetteer1,Compare provider/date/scale/generalisation/schema; publish only as variant/child/source if materially different.,"Use provider extent, geometry type, year, and existing Civgraph family as matching keys before creating new records.","family already present; review as exact-or-variant, not automatically new"
22,variant/source enrichment review,compare provider/date/scale/schema with existing family before adding metadata,"Review required; likely source metadata or child/variant relationship, not a duplicate parent.",alternate-format metadata; census/statistical provenance and concept context; date/version metadata; download/source-file metadata; geometry lineage and boundary-version metadata; geospatial source-format metadata; raw-source viewport candidate metadata; scale/generalisation/edition metadata; schema/table/attribute metadata; source/provenance metadata,3. Authoritative boundary variants from Tailte/OSI/Open Data NI/NISRA,Tailte/OSI/data.gov.ie,spatial,Baronies - National Statutory Boundaries - 2019,ARCGIS GEOSERVICES REST API|CSV|GDB|GEOJSON|GPKG|HTML|KML|TXT|XLSX|ZIP,0.79,database-map:counties-ireland (Counties of Ireland; 0.79) | browse-source:map-source:counties-ireland (Counties of Ireland source files; 0.79) | browse-map:counties-ireland (Counties of Ireland; 0.79),database-map:counties-ireland; browse-source:map-source:counties-ireland; browse-map:counties-ireland,baronies;habitat-protected-sites,baronies;habitat-protected-sites,IA download/viewport first; R2/CDN only for approved derived tiles/previews.,.../baronies-national-statutory-boundaries-20191,Compare provider/date/scale/generalisation/schema; publish only as variant/child/source if materially different.,"Use provider extent, geometry type, year, and existing Civgraph family as matching keys before creating new records.","family already present; review as exact-or-variant, not automatically new"
23,variant/source enrichment review,compare provider/date/scale/schema with existing family before adding metadata,"Review required; likely source metadata or child/variant relationship, not a duplicate parent.",alternate-format metadata; census/statistical provenance and concept context; date/version metadata; download/source-file metadata; geometry lineage and boundary-version metadata; geospatial source-format metadata; raw-source viewport candidate metadata; scale/generalisation/edition metadata; schema/table/attribute metadata; source/provenance metadata,3. Authoritative boundary variants from Tailte/OSI/Open Data NI/NISRA,Tailte/OSI/data.gov.ie,spatial,Baronies - National Statutory Boundaries - 2019 - Generalised 20m,ARCGIS GEOSERVICES REST API|CSV|GDB|GEOJSON|GPKG|HTML|KML|TXT|XLSX|ZIP,0.62,database-map:counties-ireland (Counties of Ireland; 0.62) | browse-source:map-source:counties-ireland (Counties of Ireland source files; 0.62) | browse-map:counties-ireland (Counties of Ireland; 0.62),database-map:counties-ireland; browse-source:map-source:counties-ireland; browse-map:counties-ireland,baronies;habitat-protected-sites,baronies;habitat-protected-sites,IA download/viewport first; R2/CDN only for approved derived tiles/previews.,.../baronies-national-statutory-boundaries-2019-generalised-20m1,Compare provider/date/scale/generalisation/schema; publish only as variant/child/source if materially different.,"Use provider extent, geometry type, year, and existing Civgraph family as matching keys before creating new records.","family already present; review as exact-or-variant, not automatically new"
